_id,name
1,Telefónica
2,Corsair Capital LLC
3,MSTS
4,Franklin Templeton Investments
5,Legg Mason
6,XCMG Company
7,Morgan Stanley Investment banking company
8,Editas Medicine
9,Catalant
10,Minerals Technologies Inc.
11,L3Harris L3Harris Technologies
12,TTM Technologies
13,NIH
14,Compulink Technologies
15,Freshworks
16,Nokia 
17,Dominion
18,Fidelity Investments
19,Domino's Pizza
20,AlloVir
21,Eventbrite
22,Checkmate Pharmaceuticals
23,Nordea
24,Feenics
25,Marvell Technology Group
26,Zilliqa Research Pte. Ltd.
27,P.c.b Technologies
28,Bridge stone
29,Amul
30,Sensetime
31,Xpeng Motors
32,Tesla Motors
33,Wine
34,United Community Banks Ltd.
35,Golden West Food
36,Amazon
37,Bermekimab
38,XBiotech
39,Facebook
40,Kodak
41,Microsft.com
42,Nvidia
43,Alta Equipment
44,Gencor
45,Amplitude Surgical
46,Tiktok