_id,theme,source,title,description,published_on,company 1,company 2,company 3,company 4,,,,,
1,funding,bing,"Chinese Tesla rival Xpeng Motors in talks over $300 million in funding ahead of U.S. IPO, sources say","Xpeng Motors, one of Tesla's rivals in China, is in talks to raise around $300 million in funding ahead of an initial public offering (IPO) in the U.S., two sources familiar with the matter told CNBC.",2020-07-31T15:41:00.0000000Z,,,,,AlloVir,Dominion,Kodak,Nordea,XCMG Company
2,funding,bing,Wine.com Seeks Funding at Valuation of More Than $1 Billion,"Wine.com, an online retailer that lets customers chat live with sommeliers, is exploring a funding round thatll value it at more than $1 billion, according to people with knowledge of the matter.The company has tapped an adviser for the fundraising,",2020-08-01T00:02:00.0000000Z,,,,,Alta Equipment,Domino's Pizza,L3Harris L3Harris Technologies,Nvidia,Xpeng Motors
3,funding,bing,Fenwick-Led Telehealth Co. Raises $33M As Industry Booms,"Fenwick-advised telehealth platform Lemonaid Health said Friday that it has raised $33 million in an oversubscribed funding round led by health care-focused venture capital firm Olive Tree Ventures to expand its virtual consultation offerings,",2020-07-31T22:36:00.0000000Z,,,,,Amazon,Editas Medicine,Legg Mason,P.c.b Technologies,Zilliqa Research Pte. Ltd.
4,funding,bing,United Community Banks (NASDAQ:UCBI) Raised to Hold at ValuEngine,"United Community Banks (NASDAQ:UCBI) was upgraded by investment analysts at ValuEngine from a œsell rating to a œhold rating in a report released on Saturday, ValuEngine reports. A number of other equities research analysts have also commented on the stock.",2020-08-01T06:29:00.0000000Z,,,,,Amplitude Surgical,Eventbrite,Marvell Technology Group,Sensetime,
5,funding,bing,"Golden West Food Group, Cooks Venture Raise $10 Million For Regenerative Agriculture Business",PRNewswire/ -- Golden West Food Group and Cooks Venture “ a vertically integrated food company re-envisioning the future of agriculture “ proudly announce,2020-07-31T18:47:00.0000000Z,,,,,Amul,Facebook,Microsft.com,Telefónica,
6,funding,bing,Amazon Analysts Raise Price Targets After Stellar Q2 Results,"Consumers flocked to Amazon for shopping, as the coronavirus pandemic stranded them at home. And businesses increasingly used the cloud.",2020-07-31T17:58:00.0000000Z,,,,,Bermekimab,Feenics,Minerals Technologies Inc.,Tesla Motors,
7,funding,bing,"XBiotech: Well Funded, Working On The Next Bermekimab, And Undervalued","XBiotech develops True Humanâ„¢ (naturally occurring) monoclonal antibodies that neutralise inflammation-causing interleukin-1 alpha, and may be useful in treating infectious diseases - including COVID-19.",2020-07-31T14:43:00.0000000Z,,,,,Bridge stone,Fidelity Investments,Morgan Stanley Investment banking company,Tiktok,
8,funding,bing,Kodak boss took out stock options day before failed photo company was awarded taxpayer-funded loan,"Kodak CEO, Jim Continenza (above) was awarded stock options that could net him profit of over $30million a day before Trump administration announced $765million loan to the firm.",2020-07-31T23:44:00.0000000Z,,,,,Catalant,Franklin Templeton Investments,MSTS,TTM Technologies,
9,funding,bing,Mammoth Energy Services' (TUSK) CEO Arty Straehla on Q2 2020 Results - Earnings Call Transcript,"Q2 2020 Earnings Conference Call July 30, 2020 5:00 PM ET Company Participants Don Crist “ Director-Investor Relations Arty Straehla “ Chief Executive Officer Mark Layton “ Chief Financial Officer Conference Call Participants Daniel Burke “ Johnson Rice Presentation Operator Good day,",2020-08-01T08:38:00.0000000Z,,,,,Checkmate Pharmaceuticals,Freshworks,NIH,United Community Banks Ltd.,
10,funding,bing,Uni-Select Inc. (UNIEF) CEO Brent Windom on Q2 2020 Results - Earnings Call Transcript,"Q2 2020 Results Earnings Conference Call July 30, 2020, 08:00 AM ET Company Participants Louis Juneau - Chief Legal Officer and Corporate Secretary Brent Windom - President and Chief Executive Officer Eric Bussieres - Chief Financial Officer Conference Call Participants Jean-Francois Lavoie - Desjardins Jonathan Lamers - BMO Capital Markets Jonathan Lamers - BMO Capital Markets Daryl Young - TD Securities Zachary Evershed - National Bank Financial Presentation Operator Good morning,",2020-08-01T08:53:00.0000000Z,,,,,Compulink Technologies,Gencor,Nokia ,Wine,
11,funding,bing,"Apple Reports 3Q 2020 Results: $11.25B Profit on $59.7B Revenue, 4-for-1 Stock Split Announced","Apple today announced financial results for the third fiscal quarter of 2020, which corresponds to the second calendar quarter of the year.",2020-08-01T06:23:00.0000000Z,,,,,Corsair Capital LLC,Golden West Food,,XBiotech,
12,funding,bing,"Microsoft Is in Talks to Acquire TikTok, as U.S. Considers Banning the App","Microsoft is in advanced talks to acquire the U.S. operations of the Chinese-owned video app TikTok, according to people with knowledge of the discussions, in a deal that would be a concession to White House pressure and make the software giant a major player in social media.",2020-08-01T03:28:00.0000000Z,,,,,,,,,
13,funding,bing,Nvidia in 'Advanced Talks' to Acquire Arm,"Nvidia is in advanced talks to acquire SoftBank Group's Arm Holdings, according to Bloomberg. A potential sale of Arm to Nvidia,",2020-07-31T16:50:00.0000000Z,,,,,,,,,
14,funding,bing,"Microsoft in talks to acquire TikTok, reports say","Microsoft is reportedly in talks to acquire TikTok, the app owned by Chinese company ByteDance, amid possible ban in the U.S. from President Trump.",2020-07-31T20:04:00.0000000Z,,,,,,,,,
15,funding,bing,Microsoft May Acquire Tiktoks US Operations as Trump Wants to Ban Chinese App,"In recent weeks, US Secretary of State Mike Pompeo has accused TikTok of collecting personal information of Americans. India has banned 106 Chinese apps, including TikTok, that threatened its citizens' privacy and security,",2020-08-01T04:32:00.0000000Z,,,,,,,,,
16,funding,bing,Microsoft Is Said to Be in Talks to Acquire TikTok. What That Means for the Stock.,President Donald Trump is expected to order the popular video-sharing apps parent company to divest its ownership stake.,2020-07-31T20:22:00.0000000Z,,,,,,,,,
17,funding,bing,Nvidia is reportedly in 'advanced talks' to acquire Arm Holdings,"Graphics chipmaker Nvidia is reportedly in ""advanced talks"" to acquire Arm Holdings, which if completed, could be the largest deal to date in the semiconductor industry.",2020-07-31T17:50:00.0000000Z,,,,,,,,,
18,funding,bing,Alta Equipment continues growth with deal to acquire Chicagoland equipment distributor,It's the fourth acquisition this year Terms of the deal were not disclosed Alta went public in February through a reverse merger Alta Equipment Group Inc. announced Friday plans to acquire Chicagoland agricultural and construction equipment distributor Martin Implement Sales Inc.,2020-07-31T17:45:00.0000000Z,,,,,,,,,
19,funding,bing,Alta Equipment to acquire Martin Implement Sales,"Alta Equipment Group (NYSE:ALTG) announcesÂ an agreement to acquire Martin Implement Sales.Martin sells construction and agricultural equipment and offers comprehensive services, including equipment financing,",2020-07-31T17:46:00.0000000Z,,,,,,,,,
20,funding,bing,Advent to acquire RA Chem Pharma,"Advent International has agreed to acquire a controlling stake in RA Chem Pharma, an India-based pharmaceutical company, from Micro Labs Limited.",2020-07-31T15:12:00.0000000Z,,,,,,,,,
21,acquisition,bing,"Gencor Industries, Inc. to Acquire Blaw-Knox Paver Business From Volvo CE","Gencor Industries, Inc., (œGencor) (NASDAQ:GENC) has announced that it has signed an agreement to acquire the Blaw-Knox paver business and associated assets from Volvo CE. The Blaw-Knox business, name,",2020-07-31T13:24:00.0000000Z,,,,,,,,,
22,acquisition,bing,Microsoft could acquire TikTok's U.S. operations,"Microsoft is reportedly in talks to purchase the U.S. operations of TikTok, the Chinese music and video app that President Donald Trump recently threatened to ban over suspicions of spying.",2020-07-31T20:30:00.0000000Z,,,,,,,,,
23,acquisition,bing,Nvidia is Reportedly now in Advanced Talks to Acquire ARM,"Bloomberg is reporting today that ""Nvidia Corp. is in advanced talks to acquire Arm Ltd., the chip designer owned by SoftBank Group Corp., according to people familiar with the matter. The two parties aim to reach a deal in the next few weeks, the people ...",2020-07-31T11:53:00.0000000Z,,,,,,,,,
24,acquisition,bing,"Microsoft in talks to acquire TikTok, say reports","A number of credible reports are emerging today (July 31) that Microsoft is exploring a possible acquisition of TikTok, and is in talks with the apps owner Bytedance. Gasparino tweeted that he œcant guarantee a purchase but this thing [ie.",2020-07-31T19:15:00.0000000Z,,,,,,,,,
25,acquisition,bing,PAI Partners in talks to acquire Amplitude Surgical,PAI Partners is in exclusive talks to acquire a majority stake in Amplitude Surgical for 2.15 euros per share.,2020-07-31T14:13:00.0000000Z,,,,,,,,,
26,acquisition,bing,Microsoft Reportedly In Talks To Acquire TikTok As US ˜Looking At Banning The App,"We may be banning TikTok. We are looking at a lot of alternatives with respect to TikTok. Earlier this month, Secretary of State Mike Pompeo said the U.S. is œlooking at banning TikTok and other Chinese social media apps over national security concerns.",2020-07-31T21:01:00.0000000Z,,,,,,,,,
27,acquisition,bing,Microsoft May Look To Acquire TikToks U.S. Operations: Report,"Microsoft is reportedly considering an acquisition of the U.S. operations for social media app TikTok, which is owned by Chinas ByteDance. Outlets including Bloomberg reported Friday that President Donald Trump will order ByteDance to sell off the U.S ...",2020-07-31T18:58:00.0000000Z,,,,,,,,,
28,acquisition,bing,"SinglePoint Subsidiary Enters Into Letter of Intent (LOI) to Acquire Standard Eco Solar with Unaudited Annual Revenue of $11,345,061 (2019)","SinglePoint Inc. (OTCQB:SING) (""SinglePoint""), announced that its majority owned subsidiary, Direct Solar of America, LLC (""Direct Solar""), has entered into a Letter of Intent (""LOI"") to acquire Standard Eco Solar (""Standard Eco""),",2020-07-31T17:21:00.0000000Z,,,,,,,,,
29,acquisition,bing,"Report says Microsoft in talks to acquire TikToks US ops, Trump considers ˜banning app",Media reports also said the Trump administration will soon order ByteDance to divest of its ownership of TikTok's US operations.,2020-08-01T05:40:00.0000000Z,,,,,,,,,
30,acquisition,bing,Microsoft In Talks To Acquire TikToks US Operation,"Technology giant Microsoft is in advance talks to acquire TikTok's US operations, according to a media report Friday, even as President Donald Trump said his administration is considering to ban the popular Chinese-owned video app.",2020-08-01T04:33:00.0000000Z,,,,,,,,,
31,acquisition,bing,Microsoft in talks to acquire TikTok's US operations as Donald Trump may ban the app,"TikTok, the Chinese-owned video app, which has been banned in India recently, is also facing scrutiny from the Donald Trump administration. As",2020-08-01T07:24:00.0000000Z,,,,,,,,,
32,acquisition,bing,"US will ban TikTok app, Microsoft in talks to acquire Chinese app US operations",Trump said that American authorities have raised concerns that the TikTok app could be a tool for Chinese intelligence.,2020-08-01T06:08:00.0000000Z,,,,,,,,,
33,acquisition,bing,Microsoft in talks to acquire TikToks US ops: Report,"Microsoft Corp. is exploring its acquisition to buy short video-sharing app TikToks US business to Microsoft, reports stated. The talks between the two",2020-08-01T08:34:00.0000000Z,,,,,,,,,
34,acquisition,bing,Microsoft plans to acquire TikTok's US operations: Report,"Technology giant Microsoft is in advance talks to acquire TikTok's US operations, according to a media report on Friday, even as President Donald Trump said his administration is considering to ban the Chinese video app.",2020-08-01T05:58:00.0000000Z,,,,,,,,,
35,acquisition,bing,Microsoft likely to acquire TikToks US operations,"Technology giant Microsoft is in advance talks to acquire US operations of TikTok, a media report on Friday said. In other news, Donald Trump has been making remarks of banning TikTok in America.",2020-08-01T06:03:00.0000000Z,,,,,,,,,
36,acquisition,bing,Vecima Networks to Acquire DOCSIS DAA and EPON/DPoE Portfolios from Nokia,"Nokia and Vecima Networks this week announced plans for Vecima to acquire key, next generation technology and products for cable service providers",2020-08-01T00:31:00.0000000Z,,,,,,,,,
37,acquisition,bing,Nvidia in Advanced Talks to Acquire SoftBank-owned Chip Maker ARM For $32 Billion,"US chip-maker Nvidia is reportedly in advance talks to acquire SoftBank-owned UK chip company ARM in a cash-and-stock deal worth at least $32 billion. According to a report in the Financial Times on Friday citing sources,",2020-08-01T05:45:00.0000000Z,,,,,,,,,
38,acquisition,bing,Liberty Latin America to Acquire Telefonica Costa Rica,"Liberty Latin America has entered into a definitive agreement to acquire TelefÃ³nica Costa Rica, one of Costa Ricas largest mobile service providers",2020-08-01T01:21:00.0000000Z,,,,,,,,,
39,acquisition,bing,Corsair Capital to Acquire MSTS From World Fuel Services,"We picked up this release, which discusses the acquisition of Multi Service Technology Solutions (MSTS) by Corsair Capital, from OA",2020-07-31T18:54:00.0000000Z,,,,,,,,,
40,acquisition,bing,Microsoft Said to Be Exploring TikTok Acquisition,"The app, which has been downloaded more than 2 billion times around the world, is facing scrutiny in the U.S. over its Chinese ownership.",2020-07-31T19:31:00.0000000Z,,,,,,,,,
41,acquisition,bing,Franklin Templeton Completes Acquisition of Legg Mason,"BEN], a global investment management organization with subsidiaries operating as Franklin Templeton, today announced that it has completed its previously announced acquisition of Legg Mason, Inc. [NYSE:LM] and its specialist investment managers.",2020-07-31T21:00:00.0000000Z,,,,,,,,,
42,acquisition,bing,EU clears Alstom's acquisition of Bombardier rail unit,The European Commission has cleared the acquisition of the rail business of Canadian engineering firm Bombardier by French train maker Alstom,2020-07-31T13:52:00.0000000Z,,,,,,,,,
43,acquisition,bing,FCPT Announces Acquisition of an Olive Garden Property and Adjacent Land for $5.5 Million,"Four Corners Property Trust (NYSE:FCPT), a real estate investment trust primarily engaged in the ownership of high-quality, net-leased restaurant",2020-07-31T20:58:00.0000000Z,,,,,,,,,
44,acquisition,bing,NBCUniversal Sells Entire Stake In Peloton,"In an SEC filing, NBCUniversal said it saw a $86 million gain on its investment in the fitness company in the second quarter of this year.",2020-07-31T16:35:00.0000000Z,,,,,,,,,
45,acquisition,bing,KKR to take majority stake in MasterD,"KKR has agreed to acquire a majority stake in Zaragoza, Spain-based MasterD, a vocational training company. No financial terms were disclosed. MasterDss founder Luis Gomez and the management team will reinvest alongside KKR.",2020-07-31T14:29:00.0000000Z,,,,,,,,,
46,acquisition,bing,"Morgan Stanley Has $769,000 Stake in National Research Co. (NASDAQ:NRC)","Morgan Stanley decreased its holdings in National Research Co. (NASDAQ:NRC) by 67.1% in the 1st quarter, according to its most recent filing with the Securities & Exchange Commission. The institutional investor owned 16,",2020-08-01T08:57:00.0000000Z,,,,,,,,,
47,acquisition,bing,Advent International to acquire 60 percent stake in RA Chem Pharma,"Though Advent did not provide any financial details or the percentage of the stake to be acquired, sources in the know of the matter said the deal gives RA Chem Pharma an enterprise value of around Rs 1,",2020-08-01T04:04:00.0000000Z,,,,,,,,,
48,acquisition,bing,IPS bids to raise stake in Seacom,"IPS Cable Systems has made a bid to acquire further shareholding in Africas premier fibre optic undersea cable firm, Seacom, in a move set to realign the regional broadband market. According to an inquiry notice from the Comesa Competition Commission,",2020-07-31T21:43:00.0000000Z,,,,,,,,,
49,partnerships,bing,XCMG launches products and partnerships,"XCMG has held an event to present its latest access product range and sign agreements with working at height associations and a rental company. The XCMG Aerial Work Platform Products Experience Day was held at its facilities in Shenzhen, China. More than ...",2020-07-31T13:26:00.0000000Z,,,,,,,,,
50,partnerships,bing,Wedbush raises AAPL target to $475 after earnings 'performance for the ages',"Investment bank Wedbush is raising its AAPL price target to $475 on Apple's ""Picasso-like"" June quarter earnings results and the expectation of an ""iPhone 12 super cycle.""",2020-08-01T04:59:00.0000000Z,,,,,,,,,
51,partnerships,bing,Xencor Earns Milestone Payment from MorphoSys for FDA Approval of MonjuviÂ® (tafasitamab-cxix) in the United States,"Xencor, Inc. (NASDAQ: XNCR), a clinical-stage biopharmaceutical company developing engineered monoclonal antibodies for the treatment of",2020-08-01T03:11:00.0000000Z,,,,,,,,,
52,partnerships,bing,Minnesota company gets most aid in Iowa hog disposal program,"Christensen Farms, one of the nations largest family-owned pork producers, has received $1.86 million from the Iowa Disposal Assistance Program, or 72% of the $2.6 million the program has paid to date.",2020-08-01T06:03:00.0000000Z,,,,,,,,,
53,partnerships,bing,Catalent Enters into Strategic Partnership with Editas Medicine to Support Gene Editing Medicine Pipeline,"Editas Medicine, Inc. (Nasdaq: EDIT), a leading genome editing company, and Catalent, the leading global provider of advanced delivery technologies, development, and manufacturing solutions for drugs,",2020-08-01T04:32:00.0000000Z,,,,,,,,,
54,technologies,bing,L3Harris Technologies Completes Sale of EOTech to American Holoptics,"L3Harris Technologies (NYSE:LHX) today completed the previously announced sale of its EOTech business to American Holoptics, an affiliate of Koucar Management.",2020-07-31T22:39:00.0000000Z,,,,,,,,,
55,technologies,bing,Onosys and ItsaCheckmate Integrate Technologies to Provide Advanced Enterprise Restaurant Ordering Solutions,"Onosys, the premier platform for restaurant digital ordering and ItsaCheckmate, the leader in end-to-end integrations between POS systems, third party delivery and ordering platforms today announced a",2020-07-31T18:17:00.0000000Z,,,,,,,,,
56,technologies,bing,"Minerals Technologies, Inc. (MTX) CEO Douglas Dietrich on Q2 2020 Results - Earnings Call Transcript","Q2 2020 Earnings Conference Call July 31, 2020, 11:00 ET Company Participants Erik Aldag - Head, IR Douglas Dietrich - CEO & Director Matthew Garth - SVP, Finance & Treasury and CFO D.",2020-07-31T19:35:00.0000000Z,,,,,,,,,
